"","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent","BodyMass.Value"
"67",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","4.00E-03",NA,"0.01","0.75","ng g-1","wet","no","none","none",0.03,12,20,"Asia",734.1
"68",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","blood",NA,8,NA,0.12,"adult","unknown/mixed","arithmetic mean","4.00E-03",NA,NA,NA,"ng g-1","wet","no","none","none",NA,12,20,"Asia",734.1
"69",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g-1","wet","no","none","none",NA,12,20,"Asia",734.1
"70",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p'-DDT","organochlorine insecticides","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g-1","wet","no","none","none",NA,12,20,"Asia",734.1
"71",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.19","1.14","ng g-1","dry","no","none","none",0.74,12,20,"Asia",734.1
"72",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.04","0.05","ng g-1","dry","no","none","none",0.21,12,20,"Asia",734.1
"73",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.01",NA,"ng g-1","dry","no","none","none",0.14,12,20,"Asia",734.1
"74",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.68","6.44","ng g-1","dry","no","none","none",2.63,12,20,"Asia",734.1
"75",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.01","2.2","ng g-1","dry","no","none","none",0.3,12,20,"Asia",734.1
"76",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p'-DDE","organochlorine insecticides","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.03","17.5","ng g-1","wet","no","none","none",1.56,12,20,"Asia",734.1
"77",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.28","1.99","ng g-1","dry","no","none","none",0.93,12,20,"Asia",734.1
"78",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,NA,NA,"ng g-1","wet","No","none","none",NA,12,20,"Asia",734.1
"79",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.06","0.23","ng g-1","dry","no","none","none",0.15,12,20,"Asia",734.1
"80",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.09","0.38","ng g-1","dry","no","none","none",0.17,12,20,"Asia",734.1
"81",113,"SECONDARY ANTICOAGULANT RODENTICIDE EXPOSURE IN MIGRATING JUVENILE RED-TAILED HAWKS (BUTEO JAMAICENSIS) IN RELATIONSHIP TO BODY CONDITION","2013","2015","United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","chlorophacinone","anticoagulant rodenticides","blood",NA,97,3,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"yes","Body Condition","Morphology",NA,60,29,"N. America",1101.16
"82",113,"SECONDARY ANTICOAGULANT RODENTICIDE EXPOSURE IN MIGRATING JUVENILE RED-TAILED HAWKS (BUTEO JAMAICENSIS) IN RELATIONSHIP TO BODY CONDITION","2013","2015","United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","bromadiolone","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,60,29,"N. America",1101.16
"83",113,"SECONDARY ANTICOAGULANT RODENTICIDE EXPOSURE IN MIGRATING JUVENILE RED-TAILED HAWKS (BUTEO JAMAICENSIS) IN RELATIONSHIP TO BODY CONDITION","2013","2015","United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","diphacinone","anticoagulant rodenticides","blood",NA,97,5,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,60,29,"N. America",1101.16
"84",113,"SECONDARY ANTICOAGULANT RODENTICIDE EXPOSURE IN MIGRATING JUVENILE RED-TAILED HAWKS (BUTEO JAMAICENSIS) IN RELATIONSHIP TO BODY CONDITION","2013","2015","United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","brodifacoum","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,60,29,"N. America",1101.16
"85",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Western Marsh-harrier","Circus aeruginosus","wild","MeHg","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean",NA,NA,"100","70","percent","wet","no","none","none",88,76,23,"Europe",704.07
"86",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Western Marsh-harrier","Circus aeruginosus","wild","Hg","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean",NA,NA,"78.3","19.3","ng/mL","wet","no","none","none",43.2,76,23,"Europe",704.07
"87",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Western Marsh-harrier","Circus aeruginosus","wild","Se","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean",NA,NA,"487","132","ng/mL","wet","no","none","none",299,76,23,"Europe",704.07
"88",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Se","heavy metals","blood",NA,8,NA,NA,"nestling","unknown/mixed","geometric mean","1.3 ng/mL",NA,"316","271","ng/mL","wet","no","none","none",293,56,23,"Europe",759.95
"89",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Hg","heavy metals","blood",NA,3,NA,NA,"adult","unknown/mixed","geometric mean","See Notes",NA,"587","547","ng/mL","wet","no","none","none",567,56,23,"Europe",759.95
"90",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","MeHg","heavy metals","blood",NA,3,NA,NA,"adult","unknown/mixed","geometric mean",NA,NA,"100","98","percent","wet","no","none","none",99,56,23,"Europe",759.95
"91",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Se","heavy metals","blood",NA,3,NA,NA,"adult","unknown/mixed","geometric mean","1.3 ng/mL",NA,"696","416","ng/mL","wet","no","none","none",538,56,23,"Europe",759.95
"92",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Hg","heavy metals","blood",NA,3,NA,NA,"nestling","unknown/mixed","geometric mean","See Notes",NA,"88.6","59.5","ng/mL","wet","no","none","none",71.9,56,23,"Europe",759.95
"93",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","MeHg","heavy metals","blood",NA,3,NA,NA,"nestling","unknown/mixed","geometric mean",NA,NA,"96","93","percent","wet","no","none","none",95,56,23,"Europe",759.95
"94",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Se","heavy metals","blood",NA,3,NA,NA,"nestling","unknown/mixed","geometric mean","1.3 ng/mL",NA,"501","385","ng/mL","wet","no","none","none",439,56,23,"Europe",759.95
"95",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Hg","heavy metals","blood",NA,7,NA,NA,"adult","unknown/mixed","geometric mean","See Notes",NA,"194","45","ng/mL","wet","no","none","none",99.4,56,23,"Europe",759.95
"96",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","MeHg","heavy metals","blood",NA,7,NA,NA,"adult","unknown/mixed","geometric mean",NA,NA,"100","93","percent","wet","no","none","none",96,56,23,"Europe",759.95
"97",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Se","heavy metals","blood",NA,7,NA,NA,"adult","unknown/mixed","geometric mean","1.3 ng/mL",NA,"364","354","ng/mL","wet","no","none","none",359,56,23,"Europe",759.95
"98",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","MeHg","heavy metals","blood",NA,8,NA,NA,"nestling","unknown/mixed","geometric mean",NA,NA,"97","96","percent","wet","no","none","none",97,56,23,"Europe",759.95
"99",115,"Mercury, methylmercury, and selenium in blood of bird species from Doana National Park (Southwestern Spain) after a mining accident","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Hg","heavy metals","blood",NA,8,NA,NA,"nestling","unknown/mixed","geometric mean","See Notes",NA,"93","14.7","ng/mL","wet","no","none","none",54.8,56,23,"Europe",759.95
"100",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of Heptachlor","organochlorine insecticides","blood",NA,15,4,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.06","0.12","2.00E-04","µg/mL","wet","no","none","none",0.06,33,17,"S. America",75.1
"101",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of HCH","organochlorine insecticides","feathers - body",NA,20,6,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.89","2.01","0.01","µg/g","dry","no","none","none",0.63,33,17,"S. America",75.1
"102",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of Heptachlor","organochlorine insecticides","feathers - body",NA,20,14,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.03","0.14","4.00E-04","µg/g","dry","no","none","none",0.03,33,17,"S. America",75.1
"103",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of Drines","organochlorine insecticides","feathers - body",NA,20,8,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.05","0.14","2.00E-03","µg/g","dry","no","none","none",0.03,33,17,"S. America",75.1
"104",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of DDT","organochlorine insecticides","feathers - body",NA,20,11,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.04","0.14","3.00E-04","µg/g","dry","no","none","none",0.04,33,17,"S. America",75.1
"105",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of Endosulfan","organochlorine insecticides","feathers - body",NA,20,14,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.64","1.86","7.00E-04","µg/g","dry","no","none","none",0.34,33,17,"S. America",75.1
"106",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of Chlordane","organochlorine insecticides","feathers - body",NA,20,5,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.02","0.05","4.00E-04","µg/g","dry","no","none","none",0.01,33,17,"S. America",75.1
"107",116,"Organochlorine pesticides in the ferruginous pygmy owl (Glaucidium brasilianum) in Chiapas, México","2014",NA,"Mexico","Ferruginous Pygmy-owl","Glaucidium brasilianum","wild","Sum of HCH","organochlorine insecticides","blood",NA,15,11,NA,"unknown/mixed","unknown/mixed","arithmetic mean","See general notes","0.15","0.4","1.00E-03","µg/mL","wet","no","none","none",0.08,33,17,"S. America",75.1
